Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
100,100000,50000,0,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.000323128979592
2.0,2,6.5373877551e-05
2.0,3,-2.67893877551e-05
2.0,4,-4.26669387755e-05
2.0,5,-5.50342857143e-05
2.0,6,-2.68302040816e-05
2.0,7,-4.44628571429e-05
2.0,8,-1.45444897959e-05
2.0,9,-1.02179591837e-05
2.0,10,-5.19755102041e-06
2.0,11,-2.30342857143e-05
2.0,12,-4.28710204082e-05
2.0,13,-4.7932244898e-05
2.0,14,-7.93608163265e-05
2.0,15,-3.53608163265e-05
2.0,16,-2.17714285714e-06
2.0,17,-1.10342857143e-05
2.0,18,-3.19730612245e-05
2.0,19,-1.4707755102e-05
2.0,20,-3.04220408163e-05
2.0,21,-3.84628571429e-05
2.0,22,-1.56873469388e-05
2.0,23,-2.45036734694e-05
2.0,24,-1.6626122449e-05
2.0,25,-4.71567346939e-05
2.0,26,-1.52791836735e-05
2.0,27,-3.2626122449e-05
2.0,28,-2.94832653061e-05
2.0,29,-2.96465306122e-05
2.0,30,-2.75240816327e-05
2.0,31,-4.69934693878e-05
2.0,32,-4.16873469388e-05
2.0,33,-1.00955102041e-05
2.0,34,1.70473469388e-05
2.0,35,8.39428571429e-06
2.0,36,-4.29959183673e-06
2.0,37,-2.00955102041e-05
2.0,38,-3.16465306122e-05
2.0,39,-5.05853061224e-05
2.0,40,-5.71159183673e-05
2.0,41,-3.16465306122e-05
2.0,42,2.84326530612e-06
2.0,43,5.6187755102e-06
2.0,44,-3.03404081633e-05
2.0,45,-3.3932244898e-05
2.0,46,-1.36326530612e-07
2.0,47,-2.54448979592e-06
2.0,48,-7.03428571429e-06
2.0,49,-4.43404081633e-05
2.0,50,-4.02179591837e-05
2.0,51,-1.81363265306e-05
2.0,52,-2.14424489796e-05
2.0,53,-2.65444897959e-05
2.0,54,1.49387755102e-07
2.0,55,-1.59730612245e-05
2.0,56,-7.52408163265e-06
2.0,57,2.02718367347e-05
2.0,58,-1.51975510204e-05
2.0,59,-4.05036734694e-05
2.0,60,-6.20955102041e-05
2.0,61,-2.96465306122e-05
2.0,62,-4.21363265306e-05
2.0,63,-3.54016326531e-05
2.0,64,-2.68710204082e-05
2.0,65,-1.18506122449e-05
2.0,66,-3.62995918367e-05
2.0,67,-3.80979591837e-06
2.0,68,-2.75240816327e-05
2.0,69,-3.02995918367e-05
2.0,70,-3.48302040816e-05
2.0,71,-4.35240816327e-05
2.0,72,-3.11567346939e-05
2.0,73,-3.47893877551e-05
2.0,74,-3.76057142857e-05
2.0,75,-4.14424489796e-05
2.0,76,1.70065306122e-05
2.0,77,6.59836734694e-06
2.0,78,-2.14424489796e-05
2.0,79,-2.74424489796e-05
2.0,80,-2.83812244898e-05
2.0,81,-1.31567346939e-05
2.0,82,-3.32383673469e-05
2.0,83,-2.03404081633e-05
2.0,84,-2.71975510204e-05
2.0,85,-5.05036734694e-05
2.0,86,-6.76057142857e-05
2.0,87,-2.29934693878e-05
2.0,88,-4.00955102041e-05
2.0,89,-7.8506122449e-06
2.0,90,-2.95265306122e-06
2.0,91,-2.89118367347e-05
2.0,92,-1.38506122449e-05
2.0,93,-3.2707755102e-05
2.0,94,-2.84220408163e-05
2.0,95,-4.93608163265e-05
2.0,96,-4.20955102041e-05
2.0,97,-2.6707755102e-05
2.0,98,6.56595918367e-05
2.0,99,0.000323210612245
